카테고리,[잡담],[질문],[정보],[기타]
[잡담],지금 레벨이 1612입니다. 갈증 달소 둘다 하는데 쉐닷만 10홍이고 갈증 달소 둘다 9렙 둘둘인데 담달에 레이지 라그 10멸에 퓨리 10홍으로 바꾸려구요 이렇게 하면 1620찍고 상하탑 취업 괜찮을까요?,,,
[잡담],그렇게 통수쳐맞아놓고 아직도 기대하네이정도면 능지문제가 맞다,,,
[잡담],"본인이 생각하기에 이정도 위치면 리퍼가 맞는거 같나요 ?궁금해서 물어봄아근데 나도 큰기대는 안함 그래도 애정깊게 키워온 캐릭이라최소한의 바램이라도 이뤄졌으면 하는 마음은 있음""밸패가 이랬었고 저랬었으니 이번엔 패싱당할 차례다""""지난번에 강화 원트를 했으니 이번엔 장기백을볼것이다""이건 좀 아닌거같음",,,
[잡담],뭔 딜상향해주겠다하면 아직도 기대하냐고 병신이냐하고아 근데 스마게 하는꼴 보니까 리퍼 유기한듯 ㅋㅋ 이러고 자학하고 놀면 기대버렸다고 병신이냐하네걍 평소에 리퍼 관심없어서 리퍼게 오지도 않았던 새끼들이면 걍 아가리나 닥치고있지정작 리게에서 연구글쓰고 치고박고 하면서 이건어떰 저건어떰 하던새끼들은 ㄹㅇㅋㅋ 이러고있는데뭔 여기저기서 유기한새끼에 뭔 접은새끼에 죄다 기웃기웃 거리면서 탑골공원 바둑 훈수두는 노친네들마냥 한마디씩 보태고있어 시발 뭔 전여친 인스타냐?꺼져 좆밥들아꺼지기싫으면 딜빵뜨던가,,,
[잡담],있다면 진짜 올드하시네요,,,
[잡담],ㄹㅇㅋㅋ,,,
[잡담],카멘 어떡하냐.... 진짜 걱정이다...,,,
[잡담],진짜 한번만 살려주세요 남들만큼만 취직하고 싶어요,,,
[잡담],기대를 안할 수가 없네...내일 제발 좀 웃고싶다,,,
[잡담],궁금s 진짜 버그인거야? 아님 아직 확인중인거야?,,,
[잡담],왜 아직도 그 자리에서 머무는중임?,,,
[잡담],하칸때 접고 복귀했는데 랭커분들 세팅보니까 빠준에 10멸만 낀사람도있고치단에 10멸10홍 낀사람도있던데 어느게 좋은거임?일단 97돌 333332 아드2입니다,,,
[잡담],라고 듣기까지 하루남았다.,,,
[잡담],리퍼 무기 사이즈 보면 실사는 낫이 아니라 호미일듯호미들고 레이지 찌르면 개웃기겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,
[잡담],자고 일어나면 새로운 세상이 올것.,,,
[잡담],오베 호크시절때 딱 시기올거 같음그땐 만렙이 막혀서 못갔는데이젠 스팩이 돈으로 발라도 안될거 같음다음 카멘취직스팩은 리퍼 6강에스더가 되어야 될거 같다.솔직히 에스더6강올릴스팩이면 걍 다른직업키우는게 더싸게 먹을 듯 ㅋ,,,
[잡담],걍 저번에 롤백한 꼬라지 보면 걍 리퍼 올려줄 생각없다고 못박은거나 다름없고 걍 다른 직업들 밸패하는거지켜보기나 하면서 공통적으로 사멸 버프 해준다 쳐도그 와중에 리퍼를 데려갈까? 그럴리 없지 뭐...어휴.. 진짜 10멸끼고 엘릭서 40찍으면 뭐하나 파티를 안받는데매주 1~2시간씩 파티 들어가려고 애쓰면서 하는게 맞나 싶다..인벤에선 리퍼 안거르고 받는다는 사람들 넘쳐나더만인겜에선 그런 사람 보이지도 않더라.. 리퍼 출시 때 복귀해서리퍼를 키운 내 죄다 죄야...,,,
[잡담],본캐 7멸둘둘한고 다른거 키운다,,,
[잡담],다른딜러보다 무강+2~3 이어야 받아주기때문,,,
[잡담],어차피 패치 못받으면 카멘 불가촉천민으로 가야하는건 기정사실인데존나게 기대하면서 행복회로라도 태워보자인권도없이 2년 살았으면 이제 좀 물 밖으로 꺼내줄때 됐잖아???,,,
[잡담],자게나 다른데서 밸패얘기할때 리퍼 당한다 '리' 당한다 이런말 자주 하던데 정확히 뭔말이에요? 문맥상으론 뭐 버프취소당하고 이런거같긴한데 뭐임??,,,
[잡담],모든게 결정난다내 10멸의 방향도..,,,
[잡담],쿨감없애고 자벞추가되더라도 쉐닷은 어차피 계속써야되는 상황은 같고 3오의 쉐닷같은거 없이 돌아가는거보면 괜찮을거 같은데 자버프족쇄추가해서 고점가능성도 생기고 깡급습 무력했을때 쿨도 짧아서 딜복구도 어느정도되게,,,
[잡담],사멸들5 달소5이정도면 해줄만한데?,,,
[잡담],유독 갈증은 안중에도 없는 Only 달소위주의 상향만을 바람누군가 또 허수아비영상 쳐 떄리는거 유튜브에 올렸다가 인벤 비둘기들 인벤 물어오겠지,,,
[질문],,특신 333331 원예기저달아 쓰려는데 괜찮을까요?,,
[잡담],주사위 가쥬아 제발,,,
[잡담],모잘라 줄건줘야지 딜은 딜이고,,,
[잡담],허수DPS같은거 쳐올리는 새끼들 글에 비추테러,,,
[잡담],"절대 허수 dps 같은 영상, 사진 올리지 않기자게에서도 나온 얘기이지만 영상이나 사진 올리면 안돼분탕충들은 대부분 리퍼 안 키워서 영상이나 사진 없으면 분탕 못 침",,,
[잡담],제발,,,
[잡담],오늘 한다고 했던거 같은데 시간 딱히 정해진게 없나요 ?,,,
[잡담],급습 모션만 조금 줄었으면 좋겠다너무 길다,,,
[잡담],만약 너프를 당해도..놓지 않을게..,,,
[잡담],"롤백을 당한 저번 밸패 이후 상아탑을 거쳐 지금까지.리퍼들은 대부분 죽어버려 살아있는 것을 거의 본적이없다.본격적인 밸패를 앞둔 오늘.바람소리와 스산한 빗소리가 사무실 창밖을 때린다.폭풍전야.롤백당한 리퍼를 비웃던, 지금도 비웃는 이들에게 반박글을 달지 않았다.니들이 허접한지, 리퍼가 허접한지는 결과가 말해줄 것이다.",,,
[잡담],쉐닷 나메에 무력화 중 달아주고급습딜 조금 올려주고 레이지 라그 속도만 좀 올려주라,,,
[잡담],혹시 아시는분..,,,
[잡담],2시 되면 허수치고 20% 이상 개떡상 했다고씨부리는 양반 올텐데 두들겨 팰 준비좀,,,
[잡담],.,,,
[잡담],리벤져스 Assmble,,,
[잡담],맘이꺽여버림 우리도 행복할 수 있을까?,,,
[잡담],발설은 이짤로가자  주둥이 여물고 ㅇㅇ나락가면 아래짤,,,
[잡담],https://lostark.game.onstove.com/News/TesterNotice/List오후 2시에 전쟁나니까 대비하십쇼들,,,
[잡담],투구 특옵이안떠서 회심을 못씀,,,
[잡담],소울이터로ㄱㄱ미리연습해봄ㅎ,,,
[잡담],선봉대 풀유지 쉬울줄 알았는데 은근 짜증나네유선봉대 가시려는 분들 도망가..,,,
[잡담],그냥 지능이 낮은 거지 ㅋㅋ머가리 빡통인 건 어쩔 수 없잖아?,,,
[잡담],딜 상향은 사멸 세트 효과 조정으로 조금 받을 거 같은느낌.....,,,
[잡담],"""이번 밸패 리퍼 어떨거같아 ?""""뭐 별거없겠지 난 기대안해""(시발 제발!!!!)",,,
[잡담],"어떻게 보면 컨셉도 광기랑 비슷하고,거기다 치적내리고 공이속 더 올려주면특화를 좀 더 올릴 수 있으니까 딜면에서 소폭상승이고...전투시작시에 바로 급습꽃기도 가능해질텐데",,,
[잡담],누군가 나대다가 도로 또 뻿기나요?,,,
[잡담],도화가 키우면서 투배럭으로 리퍼를 키워보려는데 그렇게 별론가요 이 짤보고 맴아파져서 물어보러왔습니다,,,
[잡담],리퍼에ㅜ관심 ㅈ도 없는 새기들이라..,,,
[잡담],ㅇㅈ?,,,
[잡담],ㅁㄴㅇㄹ,,,
[잡담],이정도 버프로 만족하는 할만충 새기들 드글대는 직업이라 뜨는게 답이다,,,
[잡담],ㅋㅋ 그냥 너네도 엘릭서 내려놓고 쌀먹이나 하자 뭘 더하노 ㅋㅋ,,,
[잡담],이게 맞냐?치적불균형이랑 그딴거 어디가고나메 ㅈㅅ 하고 딜계수 좀더 얹어주는게 끝임 ㅋㅋ?,,,
[잡담],생각보다 큰폭같은데 라그왜케 많이상향하지?,,,
[잡담],https://youtu.be/kDgSpiWXNbY,,,
[잡담],롤백 당하기 싫으면 좋아도 누우라 이말입니다,,,
[잡담],하 시발 진짜 ㅋㅋ,,,
[잡담],지금 상아탑 말도 안될텐데 기믹 어케하라고?;,,,
[잡담],그쪽은 없네요 에휴.. 너무 많이 바랬나,,,
[잡담],ㅈㄱㄴ,,,
[잡담],암살자특성에 맞은 높은 피해량이 대체 뭔데?딜만 보는 캐릭이 딜 중위권이 암살자 특성에 맞는 높은 피해량인가?,,,
[잡담],ㅋㅋ,,,
[잡담],"갈증 버프유지 개선달소 기믹수행력그리고 체방, 사멸 족쇄생각하면 딜 더늘려야함",,,
[잡담],남들 이번 밸패에서 웃거나 울때우리만 저번 밸패에서 머물고 있는거나 마찬가지임ㅋㅋ,,,
[잡담],암살자에 맞는 딜? ㅋㅋㅋㅋㅋ,,,
[잡담],서머너만 제물로 바쳐지고 다른 타대는 손을 안댔거나 개미똥꾸멍만큼 너프 ㅋㅋㅋㅋㅋㅋㅋㅋ에라이 퉤,,,
[잡담],에효 씨발,,,
[잡담],리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만,,,
[잡담],댄오퓨는 병신스킬이라 치적이 100%가 넘어가도 상관이 없나? ㅋㅋ,,,
[잡담],요즘 현생사느라 잘 못햇는데 접을까말까 고민중에 이런 확답을 주네 고생했다 나의 리퍼야..,,,
[잡담],갈증으로 가긴 할건데달소로도 한번 카멘 가보고싶어...,,,
[잡담],"데헌, 기공사, 창술 같은 전체적으로 변경점이 많은 직업은 차치하고아예 변경점이 없는 아르카나, 건슬링어가 승리자 같음이 두직업은 원래도 강했으나 몇몇 상위권들이 너프당하면서 오히려 입지가 좋아짐데헌 딜량을 봐야 알겠지만 당분간 황후가 압도적인 강자가 아닐까..",,,
[잡담],저번 롤백사태 해결은 해야겠고하다 만것같누ㅋㅋㅋ,,,
[잡담],ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,
[잡담],거지같이 나눠서 올리는 꼬라지 ㅋㅋㅋㅋㅋ,,,
[잡담],슬레 처단자 못이길듯 ㅋ,,,
[잡담],얼마나 가스라이팅을 쳐 당하고 살았으면이딴 쥐좆 상향에 쉬쉬하노저정도 찍 상향한다고 원래 데려가던 애들 대신 리퍼 파티 껴줄 거 같냐? ㅋㅋ,,,
[잡담],왜안해주는데 시발,,,
[잡담],진짜로 ㅋㅋ,,,
[잡담],●▅▇█▇▆▅▄▇ 지난 패치 여론 4.4% 돌려주기,,,
[잡담],걍 4.4퍼 버프하면 저번밸패랑 너~~~~무 똑같아보이니까 살짝 바꿔서 주는거보소ㅋㅋ저번에 한 4.4퍼로 밀당했는데 애들 그마저도 좋다고 난리치니까 이번에도 딱 그만큼 한것같은데응 이번엔 어림도 없어~ 쓰레기 게임 접는다 ㅂㅂ~~~,,,
[잡담],다음패치엔 날아오를것..,,,
[잡담],또 과치적상태로 억지사이클 꾸역꾸역 돌리면서 몸이나비틀라 이거지 ㅋㅋ,,,
[잡담],그냥 4.4% 미안하다고 사과를 해라~,,,
[잡담],이거 준다고 본섭에 그대로 적용된다고 누가 믿냐?이미 밸패팀 신뢰가 바닥인데할만한데? 딜 좋네 등등 다 거른다.,,,
[잡담],●▅▇█▇▆▅▄▇ 지난 패치 여론 4.4% 돌려주기,,,
[잡담],언제까지 파괴에 주력기 다 꼴아박고 막상 부숴져서 딜각 나오면 레이지말고 박을게 없냐,,,
[잡담],암살자에 맞는 딜? ㅋㅋㅋㅋㅋ,,,
[잡담],슬레 처단자 못이길듯 ㅋ,,,
[잡담],아,,,
[잡담],"전 리퍼, 현 알카가 다녀갑니다.힘내십쇼.",,,
[잡담],상하탑에 무카파 존나넣어놓고개발자코멘트에 기믹관련 언급없으면니들도 리퍼는 딜이 전부라는거 인정하는거잖아딜은 롤백에 롤백 패치고기믹관련언급 1도없으면서 거절율 신경안쓰는씹스레기 밸런스패치,,,
[잡담],.,,,
[잡담],다소 부족한 성능으로.. 4.4버프 > 롤백 > 4.4% 주기엔 지들롤백했던게 생각나서 나눠서 버프 다음 순서는 롤백인가요 스마게님들?,,,
[잡담],곧 30추에 올라올듯; ㅅㅂ,,,
[잡담],달소도 불균형갈증도 불균형이런^^ㅣ팔,,,
[잡담],응~ 절대 안받아줘 이거 버프 아니야,,,
[잡담],그냥 무조건눕고 무력파괴까지 받아야한다,,,
[잡담],언급하기 미안하니까 나메로 말돌리는거 진짜 개너무하네테섭 롤백 왜그랬는지 말은 해줘야 정상아님???,,,
[잡담],난 이미 겜 유기 했고 밸패 때 혹시나 해서 왔는데 역시나네 ㅋㅋ딜 5%가량 오르면 뭐함? 데헌 기공 창술 같은 리워크 받은 애들한테 절대 못이길거라 리퍼 위 캐릭은 더 많아졌는데 ㅋㅋ경쟁 되려면 레이지 속성은 줘야 비벼볼수나 있음 저걸론 그냥 깔개니까 유기해라,,,
[잡담],??,,,
[잡담],3번 농락 끝에 또 한 번 기다려보자는 리퍼들이제서야 진짜 대가리 깨짐?3번 마지막 통수 1월달에 악세 보석 다 뺐다 ㅅㄱ,,,
[잡담],이제 저~~~~~~~~~~~어짝에 쳐박아둔 리퍼 꺼내들면 되는건가요?,,,
[잡담],슈바바바알,,,
[잡담],본섭 넘어오면 이것도 롤백당함,,,
[잡담],"쉐스, 쉐닷에 무력, 부파 달라고",,,
[잡담],죄다 상향평준화에 특별히 버프 많이 받은거 같지도 않은데..그나마 쳐낸 놈들은 슬레이어 하나당연히 쳐낼거 생각보다 덜 쳐낸거 같은데슬레이어 전에 공식 1위었던 서머너 추가 너프솔직히 저 두 놈이 리퍼 옆에 있는것도 꼬운데이번 패치로 리퍼 아래가 된게 맞는지도 긴가민가한 수준이 저 두놈 빼고는 전반적인 상향에 리퍼가특출나게 상향 받은 것도 아니라면상대티어는 오히려 더 내려갈 수 있는 상황 아님?숫자 버프 받으면 물론 좋지만어차피 레이드 게임인데남 버프 6% 받을때 내 직업이 4% 받으면그건 너프인거임.꼬라지 보면 여전히 키우고 돈쓰는 놈들이 병신이 맞는거 같다.뭐 본인이 만족하면서 키우면 뭐 리스펙 하고~근데 직업으로 스트레스 받으면서여전히 리퍼에 돈과 애정을 부으면 그건 병신이 맞음,,,
[잡담],이런 개좆만한 패치들고 카멘 기어가서 존나 비벼야 되는데과거에 처맞은 PTSD에 절여져서 밸런스 관련 이야기에 적극적으로 말하기는 커녕 개쫄아서 쉬쉬하는 사람들이 아직도 있네진짜 저정도 상향 패치로 인구수 넘쳐나는 상위직업에 비빌 수나 있다고 생각해? ㅋㅋㅋ주변 환경이 암울하면 본인도 성공할 수 없는 거 처럼 이젠유저풀도 족쇄에 절여져서 그냥 답이없으니다들 엘릭서 내려놓고 쌀먹이나 하거라,,,
[잡담],갈증 좆같은 2중게이지 개선 절대 할 생각 없어보이고 밸패랍시고 한게 선동당해서 뺏은거 돌려주기 ㅅㅂㅋㅋㅋㅋ그와중에 욕처먹을까봐 일괄 4.4퍼는 못하고 나눠서 찔끔찔끔이딴걸 개발팀이라고 대리고있는 스마게새끼들도 존나 역겹다 걍 다 짜르고 새로 뽑아라,,,
[잡담],스마게 ㅄ같다버프 -> 롤백 -> 버프이게 뭐하는건지 모르겠다 ㅋㅋㅋㅋ,,,
[잡담],소울이터로 넘어가실분 넘어가심댈듯 ㅋㅋㅋ,,,
[잡담],저거 받고 카멘 가라고?? 진짜??,,,
[잡담],트랩 -> 딜4% -> 나메이딴 패치 3연속으로 처맞고 얌전하면니가 스마게여도 줜나 만만해보여서 줘패지 않겠냐? ㅋㅋ,,,
[잡담],나메 씨발 뭘자꾸건드려놓고 다시 제자리네 ㅋㅋㅋ,,,
[잡담],병신들 먹이 주지말라니까 자꾸 먹이 갖다 바치네병신들상대로 착해지지말라고걍 좀 무시하라고 제발,,,
[잡담],"특화계수라도 좀 붙여주던가......스톰이나 트랩같은 스킬에 무력/무파 관련된 내용을 붙여주던가.......상향받아서 좋긴하지만, 저번 여론패치 돌려받은거 그정도 아닌가요??",,,
[잡담],"우리 달소 살려주세요,...",,,
[잡담],리퍼는 지난 밸런스 패치 이후로 암살자 클래스 특성에 부합하는 높은 피해량을 기록하였지만최근 전투 환경에서는 다소 낮아진 성능을 발휘하고 있기에 일부 스킬과 트라이포드의 피해량을 상향 조정하였습니다.↑↑여론 패치로 4.4% 롤백한거고이번에 6개월 딜 비교해보니지표가 낮아서 다시 준거네애초에 4.4% 버프를 계획 했다는 것 자체가 지표 자체에 문제가 있어서 준걸텐데지난 패치 때 분위기 보고 롤백한거 너무했다 진짜..실제로 dps표도 데헌이랑 사멸 꼴찌였는데,,,
[잡담],잔상쓰고싶다고 ㅋㅋ 열뻗치네,,,
[잡담],4.4프로 더 얹어 주고 무력 개선 조금만 해줘.. 중짜리 하나만 더줘..파괴 1렙을 주든가..ㅜ,,,
[잡담],패치 - 압수 - 롤백 후나메 ㅈㅅ ㅋㅋ 근데 우리 기술로 지금 고치기힘듬 하고치적불균형 그딴거 하나도 안고쳐줌 ㅋㅋ딜올라간다고 취업률이 올라가는게 아닌데 이새기들은 뇌가 빠졌나?해외섭마저 리퍼취업률 ㅈ창나는데 흠..,,,
[잡담],"나메 버그를 무려 밸패를 통해서 바꿔야할 사안이야? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ버그는 발견하면 수정해야하는거 아니냐, 무슨 데이터 수집이 필요한것도 아니고 어지럽네 ㄹㅇ",,,
[잡담],니들이 눕는다고 뭐 스마게가 해주냐?걍 지금 버프한거라도 감사히 받아라못 받겠으면 접어 그냥,,,
[잡담],이미 해외섭까지 리혐 ㅈㄴ생기는데카멘전 밸패에서 줬다뺏은 딜버프말고 더 받아야 취업률이 그나마 오르지ㅅㅂ 호데기들은 다 쌔져가는데 이제 그 아래에 리퍼 생기겠네그냥 저지능자만 리퍼하고 다 소울이터로 넘어가라는 스마게의 뜻임 ㅋㅋ,,,
[잡담],저번처럼 또 롤백하면 진짜 놔줄수있을거같아,,,
[질문],,리퍼 나메는 뭐 있었음? 코멘트보는데 나메 롤백한대서,,
